country,Country_Name,IFS,income,Area,G20,Reference currency,EU,CEMAC,WAEMU ,ECCU,HARD PEG to USD,HARD PEG TO EURO,HARD PEG TO AUS DOLLAR,HARD PEG TO STH AFR RAND,HARD PEG TO INDIAN RUPEE,HARD PEG TO...,Managed,RESERVES POLICY
Serbia,Serbia,942,EM,EUR,0,EUR,0,0,0,0,0,0,0,0,0,0,0,1
Seychelles,Seychelles,718,EM,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Sierra Leone,Sierra Leone,724,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Singapore,Singapore,576,AE,APD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Slovakia,Slovakia,936,AE,EUR,0,EUR,1,0,0,0,0,1,0,0,0,1,0,0
Slovenia,Slovenia,961,AE,EUR,0,EUR,1,0,0,0,0,1,0,0,0,1,0,0
Solomon Islands,Solomon Islands,813,LIC,APD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Somalia,Somalia,726,LIC,AFR,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
South Africa,South Africa,199,EM,AFR,1,USD,0,0,0,0,0,0,0,0,0,0,0,1
South Sudan,South Sudan,733,EM,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Spain,Spain,184,AE,EUR,0,USD,1,0,0,0,0,1,0,0,0,1,0,0
Sri Lanka,Sri Lanka,524,EM,APD,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
St. Kitts and Nevis,St. Kitts and Nevis,361,EM,WHD,0,USD,0,0,0,1,1,0,0,0,0,1,0,1
St. Lucia,St. Lucia,362,EM,WHD,0,USD,0,0,0,1,1,0,0,0,0,1,0,1
St. Vincent and the Grenadines,St. Vincent and the Grenadines,364,EM,WHD,0,USD,0,0,0,1,1,0,0,0,0,1,0,1
Sudan,Sudan,732,LIC,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Suriname,Suriname,366,EM,WHD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Eswatini,Eswatini,734,EM,AFR,0,ZAF,0,0,0,0,0,0,0,1,0,0,1,1
Sweden,Sweden,144,AE,EUR,0,EUR,1,0,0,0,0,0,0,0,0,0,0,0
Switzerland,Switzerland,146,AE,EUR,0,EUR,1,0,0,0,0,0,0,0,0,0,0,1
Syria,Syria,463,EM,MCD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
